trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
115 active 0 -30.0 nan nan 0.3313183188186439 -0.05645194810810908 0.007719603620160109 -0.09448176437242219 0.07196855387710088 nan nan 1626982800.356689
116 active 0 -30.0 nan nan 0.3325307819211216 -0.0619903713257315 0.008306949173304323 -0.08946339965001697 0.06700442693140929 nan nan 1626982806.7376041
117 active 0 -30.0 nan nan 0.32988086566440744 -0.055397858650006314 0.0011897161316212213 -0.1032646434983722 0.07154075606895793 nan nan 1626982813.0481825
118 active 0 -30.0 nan nan 0.28737111598577075 -0.05369724274012933 0.0015631841472227848 -0.09969741815617235 0.0775517251720872 nan nan 1626982819.2113276
119 active 0 nan nan nan 0.31857871207248384 -0.05730309066824141 0.007402063331505726 -0.09669086428156887 0.08112050897550893 nan nan 1626982825.4413295
120 active 0 -30.0 nan nan 0.3314248606206596 -0.05583210205502857 0.010794193828186693 -0.1003103737873055 0.0875198756664739 nan nan 1626982831.7587266
121 active 0 -30.0 nan nan 0.30006059969272597 -0.06276348210496048 0.0031410233599996618 -0.09477511590073921 0.07792786291047382 nan nan 1626982838.0616686
122 active 0 -30.0 nan nan 0.32537890967113126 -0.049784788845792134 -0.00842496191471287 -0.10059713702006592 0.07600105861128603 nan nan 1626982844.491047
123 active 0 nan nan nan 0.32853211145748884 -0.0626832855411368 0.016243903068685284 -0.09424305752804008 0.07844182171614156 nan nan 1626982850.8358788
124 active 0 -30.0 nan nan 0.34466005398907734 -0.06517293777426693 0.017593387239949743 -0.10049136510407322 0.08559980324046068 nan nan 1626982857.2847624
125 active 0 -30.0 nan nan 0.2840205857759146 -0.05831893710703213 0.0020289455370638976 -0.09735065939964557 0.06842405680335273 nan nan 1626982863.494205
126 active 0 -30.0 nan nan 0.3706180195187624 -0.06129083539813275 0.009133781120949425 -0.1014888887434874 0.08293982632634533 nan nan 1626982869.8753564
127 active 0 nan nan nan 0.38170002312762324 -0.058450086813726335 0.005984939435995429 -0.10149107419331899 0.08909475802118738 nan nan 1626982876.0068235
128 active 0 -30.0 nan nan 0.32308145203338823 -0.05882308898776836 0.00280598451970826 -0.09939246718339591 0.07986635310764767 nan nan 1626982882.183786
129 active 0 -30.0 nan nan 0.30141714958624 -0.060053721593489214 0.006211366919160022 -0.09980143808627431 0.08134934832380292 nan nan 1626982888.4526582
130 active 0 -30.0 nan nan 0.320864087820966 -0.0635275028296025 0.014890750481698523 -0.10090719663902425 0.08091454544990107 nan nan 1626982894.7517369
131 active 0 nan nan nan 0.3421386822108977 -0.061533084670172065 0.010727407267568045 -0.09913190839948074 0.07801881030167446 nan nan 1626982900.9248018
132 active 0 -30.0 nan nan 0.3102420687777284 -0.05957336559412905 0.008425037402007618 -0.09483913153180651 0.06169349361843668 nan nan 1626982907.321182
133 active 0 -30.0 nan nan 0.37194982756941136 -0.06384206140760468 0.011775425386318927 -0.09908344685341317 0.07682467673193005 nan nan 1626982913.6975312
134 active 0 nan nan nan 0.3530908860797623 -0.06597480598148822 0.018930507190098367 -0.0933035002501313 0.08421151740307264 nan nan 1626982919.7903621
135 active 0 -30.0 nan nan 0.31310185489619013 -0.05193281435864246 0.004119832297887482 -0.0940602402080073 0.07271455220682876 nan nan 1626982926.1588929
136 active 0 -30.0 nan nan 0.3216468934623491 -0.05368288212501619 0.006797217470766337 -0.09707459501263746 0.07756049498822681 nan nan 1626982932.3650873
137 active 0 -30.0 nan nan 0.3225444644698392 -0.06317191076761769 0.013443782268202087 -0.10306922087723543 0.08130344392201572 nan nan 1626982938.4299624
138 active 0 -30.0 nan nan 0.3717654042336523 -0.06141616112457762 0.019948450504524762 -0.09928090766338694 0.08168193909861388 nan nan 1626982944.6443794
139 active 0 nan nan nan 0.30476858672692314 -0.0599291906471288 0.006531087495957433 -0.09698866293381314 0.07775993860669994 nan nan 1626982950.9148617
140 active 0 -30.0 nan nan 0.3037846421294828 -0.06540101927838472 0.007641616459293732 -0.09866618099996083 0.0828627311001956 nan nan 1626982957.1669698
141 active 0 -30.0 nan nan 0.33310685721829564 -0.06293167037005455 0.015195604796914286 -0.10230320474429858 0.0807913590071242 nan nan 1626982963.3372428
142 active 0 -30.0 nan nan 0.32458798243378434 -0.05103463931196797 0.007095256960728102 -0.09861688032284376 0.08682916981535771 nan nan 1626982969.708094
143 active 0 nan nan nan 0.3390354768392197 -0.0578050270657029 0.004594475720123614 -0.09176996152887704 0.07771401108059706 nan nan 1626982976.2271788
144 active 0 -30.0 nan nan 0.3005033359003472 -0.05985019188969983 0.0016513664808789352 -0.09689134975325801 0.07551815120426164 nan nan 1626982982.4090016
145 active 0 -30.0 nan nan 0.34414393021351714 -0.06142564228158184 0.011585047852396668 -0.10207762942640122 0.07804750680299588 nan nan 1626982988.884851
146 active 0 nan nan nan 0.34761257902104264 -0.049749661191709794 -0.0032886870752208974 -0.09023605808913836 0.06880509992794959 nan nan 1626982994.9660594
147 active 0 -30.0 nan nan 0.33464020403855593 -0.06136443407299816 0.012783096419797135 -0.10018104174512232 0.0773569073651692 nan nan 1626983001.2929616
148 active 0 -30.0 nan nan 0.3314517720467527 -0.05874396860193199 0.003857711594601798 -0.0973470691817595 0.07220345140444417 nan nan 1626983007.7035916
149 active 0 -30.0 nan nan 0.3151975646072235 -0.04846621758925812 -0.009118447686823683 -0.09551709789108055 0.07648445351211952 nan nan 1626983013.8829513
150 active 0 -30.0 nan nan 0.3146336321196497 -0.06514519388089329 0.004987702205950573 -0.10349769074189907 0.07775190097756501 nan nan 1626983019.9757516
151 active 0 nan nan nan 0.41621395892673024 -0.05870043273310381 0.01656923323255044 -0.09954962915247904 0.08820519346662714 nan nan 1626983026.325709
152 active 0 nan nan nan 0.3936257135137024 -0.056512721817951715 0.017664803588771427 -0.07999151595945127 0.09038206181454744 nan nan 1626983032.5542169
153 active 0 nan nan nan 0.3679721038480161 -0.052722314010960517 0.005814283426977318 -0.08434609315545455 0.09871890293590402 nan nan 1626983039.1056287
154 active 0 nan nan nan 0.3430642793431177 -0.06353720199122338 0.010505862136567123 -0.10004028673331634 0.09204227440362955 nan nan 1626983045.2119122
155 active 0 nan nan nan 0.39879876456070573 -0.055095768585615185 0.011860860923191052 -0.07823069641306177 0.08289692754618994 nan nan 1626983051.5482614
156 active 0 nan nan nan 0.38519721857392614 -0.051830637741751624 0.019114575498836217 -0.07763978566451239 0.09208152177112716 nan nan 1626983057.4929678
157 active 0 nan nan nan 0.35216948446131835 -0.05101719917553467 0.004769822873308516 -0.07926387694467783 0.08273069639633968 nan nan 1626983063.6502388
158 active 0 nan nan nan 0.3187699400662227 -0.048422373933497825 -0.006836652650726416 -0.0835953065039335 0.08147079246139755 nan nan 1626983069.722363
159 active 0 nan nan nan 0.3313808914342437 -0.05227174878120795 0.02748197947550368 -0.07008706268451939 0.08399220291115861 nan nan 1626983076.126656
160 active 0 nan nan nan 0.3444310535132217 -0.05605805554061098 0.010815648497462638 -0.09751239175589398 0.09202356482216256 nan nan 1626983082.657572
161 active 0 nan nan nan 0.3050836415822897 -0.05321685873126427 -0.004732068354759811 -0.09083042900307833 0.07898500381841689 nan nan 1626983088.9344964
162 active 0 nan nan nan 0.3042530302941063 -0.05674107340459953 0.018495090587634322 -0.08977649873781408 0.08991070289544756 nan nan 1626983095.2773485
163 active 0 nan nan nan 0.3045549546215901 -0.06052351044330612 0.015982428433767293 -0.09243142900616354 0.09158274957494428 nan nan 1626983101.6937358
164 active 0 nan nan nan 0.32017634875700196 -0.04785640517918814 0.02299318428392849 -0.07714936369310628 0.09545250698248109 nan nan 1626983108.022197
